id_delegacia,nome_departamento,nome_seccional,delegacia,nome_seccional_circ,nome_delegacia_circ
110711,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.VOTUPORANGA,DEL.SEC.VOTUPORANGA PLANTÃO,DEL.SEC.3º OESTE,14º D.P. PINHEIROS
120103,DEINTER 7 - SOROCABA,DEL.SEC.AVARE,DEL.POL.CERQUEIRA CESAR,DEL.SEC.GUARULHOS,05º D.P. GUARULHOS
120105,DEINTER 7 - SOROCABA,DEL.SEC.AVARE,DEL.POL.ITAÍ,DEL.SEC.6º SANTO AMARO,85º D.P. JARDIM MIRNA
120108,DEINTER 7 - SOROCABA,DEL.SEC.AVARE,DEL.POL.TAQUARITUBA,DEL.SEC.3º OESTE,23º D.P.  PERDIZES
120118,DEINTER 7 - SOROCABA,DEL.SEC.AVARE,DEL.POL.PIRAJU,DEL.SEC.2º SUL,16º D.P. VILA CLEMENTINO
120129,DEINTER 7 - SOROCABA,DEL.SEC.AVARE,DEL.SEC.AVARE PLANTÃO,DEL.SEC.2º SUL,36º D.P.  VILA MARIANA
120200,DEINTER 7 - SOROCABA,DEL.SEC.BOTUCATU,DEL.SEC.BOTUCATU,DEL.SEC.3º OESTE,23º D.P.  PERDIZES
120207,DEINTER 7 - SOROCABA,DEL.SEC.BOTUCATU,DEL.POL.ITATINGA,DEL.SEC.4º NORTE,13º D.P. CASA VERDE
120208,DEINTER 7 - SOROCABA,DEL.SEC.BOTUCATU,DEL.POL.LARANJAL PAULISTA,DEL.SEC.1º CENTRO,12º D.P. PARI
120211,DEINTER 7 - SOROCABA,DEL.SEC.BOTUCATU,DEL.POL.SÃO MANUEL,DEL.SEC.3º OESTE,93º D.P. JAGUARÉ
120212,DEINTER 7 - SOROCABA,DEL.SEC.SOROCABA,DEL.POL.TIETÊ,DEL.SEC.8º SAO MATEUS,49º D.P.  SAO MATEUS
120213,DEINTER 7 - SOROCABA,DEL.SEC.BOTUCATU,DEL.POL.PORANGABA,DEL.SEC.S.BERNARDO DO CAMPO,01º D.P. S.CAETANO DO SUL
120214,DEINTER 7 - SOROCABA,DEL.SEC.BOTUCATU,01º D.P. BOTUCATU,DEL.SEC.GUARULHOS,08º D.P. GUARULHOS
120215,DEINTER 7 - SOROCABA,DEL.SEC.BOTUCATU,02º D.P. BOTUCATU,DEL.SEC.3º OESTE,23º D.P.  PERDIZES
120218,DEINTER 7 - SOROCABA,DEL.SEC.BOTUCATU,DEL.DEF.MUL. BOTUCATU,DEL.SEC.5º LESTE,30º D.P.  TATUAPE
120221,DEINTER 7 - SOROCABA,DEL.SEC.BOTUCATU,DEL.INV.GER. BOTUCATU,DEL.SEC.5º LESTE,56º D.P.  VILA ALPINA
120223,DEINTER 7 - SOROCABA,DEL.SEC.BOTUCATU,DEL.DEF.MUL. SÃO MANUEL,DEL.SEC.GUARULHOS,02º D.P. GUARULHOS
120300,DEINTER 7 - SOROCABA,DEL.SEC.ITAPETININGA,DEL.SEC.ITAPETININGA,DEL.SEC.S.BERNARDO DO CAMPO,08º D.P. S.BERNARDO DO CAMPO
120301,DEINTER 7 - SOROCABA,DEL.SEC.ITAPETININGA,DEL.POL.ANGATUBA,DEL.SEC.3º OESTE,14º D.P. PINHEIROS
120303,DEINTER 7 - SOROCABA,DEL.SEC.ITAPETININGA,DEL.POL.CESÁRIO LANGE,DEL.SEC.TABOÃO DA SERRA,DEL.POL.ITAPECERICA DA SERRA
